Timestamp,TargetTemp,ActualTemp,SysID,SysAge,BldgID
1370044801000,66,58,13,20,4
1370134801000,69,68,3,20,17
1370224801000,70,73,17,20,18
1370314801000,67,63,2,23,15
1370404801000,68,74,16,9,3
1370494801000,67,56,13,28,4
1370584801000,70,58,12,24,2
1370674801000,70,73,20,26,16
1370764801000,66,69,16,9,9
1370854801000,65,57,6,5,12
1370944801000,67,70,10,17,15
1371034801000,69,62,2,11,7
1371124801000,69,73,14,2,15
1371214801000,65,61,3,2,6
1371304801000,67,59,19,22,20
1371394801000,65,56,19,11,8
1371484801000,67,57,15,7,6
1371574801000,66,57,12,5,13
1371664801000,69,58,8,22,4
1371754801000,67,55,17,5,7
1371844801000,69,72,7,5,17
1371934801000,66,69,6,29,9
1372024801000,67,65,6,18,20
1372114801000,67,61,15,13,6
1372119199000,70,71,19,14,18
1372209199000,67,71,1,6,8
1372299199000,69,68,16,14,14
1372389199000,65,56,8,18,15
1372479199000,66,77,7,6,13
1372569199000,70,63,7,13,5
1370067199000,68,66,11,15,3
1370157199000,69,60,14,1,18
1370247199000,66,65,14,18,11
1370337199000,67,69,1,5,9
1370427199000,70,78,5,5,10
1370517199000,67,72,16,8,19
1370607199000,67,73,17,30,2
1370697199000,65,75,4,13,10
1370787199000,67,68,2,17,2
1370877199000,65,77,15,17,6
1370967199000,66,67,16,24,3
1371057199000,69,64,18,25,2
1371147199000,67,68,2,14,1
1371237199000,68,75,9,22,5
1371327199000,69,58,9,6,4
1371417199000,69,77,19,20,9
1371507199000,67,73,2,4,2
1371597199000,66,75,1,13,12
1371602631000,70,65,11,9,5
1371692631000,69,65,7,30,2
1371782631000,66,56,16,28,14
1371872631000,69,67,3,4,9
1371962631000,70,68,2,12,6
1372052631000,70,63,15,30,20
1372142631000,65,63,11,13,17
1372232631000,67,78,13,22,18
1372322631000,68,61,15,28,7
1372412631000,66,65,4,24,2
1372502631000,69,59,17,25,9
1372592631000,68,67,8,17,6
1370090631000,69,79,6,15,7
1370180631000,65,72,20,26,12
1370270631000,65,57,3,24,18
1370360631000,66,56,20,25,6
1370450631000,65,71,2,14,9
1370540631000,67,79,1,9,10
1370630631000,67,72,13,29,15
1370720631000,69,76,11,25,11
1370810631000,65,67,6,21,16
1370900631000,67,74,3,19,14
1370990631000,68,76,9,28,2
1371080631000,68,69,7,26,20
